Date,AAPL,AMD,AMZN,GOOGL,JPM,META,MSFT,NVDA,ORCL,TSLA
2020-11-27,113.49480438232422,87.19000244140625,159.76699829101562,88.73896026611328,106.46434783935547,276.1078796386719,206.52174377441406,13.220891952514648,53.875389099121094,195.25332641601562
2020-11-30,115.88949584960938,92.66000366210938,158.40199279785156,87.11913299560547,103.53091430664062,275.27301025390625,205.40870666503906,13.360715866088867,53.83808135986328,189.1999969482422
2020-12-01,119.46207427978516,92.62999725341797,161.00399780273438,89.1530990600586,105.16450500488281,284.7943115234375,207.46212768554688,13.349248886108398,54.789485931396484,194.9199981689453
2020-12-02,119.81251525878906,93.73999786376953,160.17649841308594,90.62345886230469,107.18453979492188,285.75836181640625,206.6560821533203,13.503278732299805,55.10661315917969,189.60667419433594
2020-12-03,119.67621612548828,92.30999755859375,159.3365020751953,90.46803283691406,106.48192596435547,280.1231384277344,205.5718231201172,13.359177589416504,55.28384017944336,197.7933349609375
2020-12-04,119.00454711914062,94.04000091552734,158.12899780273438,90.56339263916016,107.44801330566406,277.9862976074219,205.68695068359375,13.520980834960938,55.92742919921875,199.67999267578125
2020-12-07,120.46471405029297,94.06999969482422,157.89999389648438,90.22917938232422,107.04399108886719,283.83026123046875,205.6197509765625,13.569350242614746,55.7781867980957,213.9199981689453
2020-12-08,121.0780029296875,92.91999816894531,158.864501953125,89.94612884521484,107.14942169189453,281.66363525390625,207.27020263671875,13.313304901123047,55.05998229980469,216.6266632080078
2020-12-09,118.54703521728516,89.83000183105469,155.2100067138672,88.28409576416016,106.31504821777344,276.2171936035156,203.2305145263672,12.895206451416016,55.712894439697266,201.4933319091797
2020-12-10,119.96825408935547,91.66000366210938,155.07449340820312,87.77709197998047,105.62999725341797,275.4220886230469,202.00228881835938,12.93659496307373,55.47970962524414,209.02333068847656
2020-12-11,119.1603012084961,91.6500015258789,155.8209991455078,88.13214111328125,105.00640869140625,271.87396240234375,204.63148498535156,12.977479934692383,56.533714294433594,203.3300018310547
2020-12-14,118.54703521728516,94.77999877929688,157.84849548339844,87.01286315917969,103.8997802734375,272.5100402832031,205.533447265625,13.27216625213623,56.67362594604492,213.27667236328125
2020-12-15,124.48507690429688,97.12000274658203,158.25599670410156,87.45084381103516,105.67390441894531,273.8617248535156,205.46624755859375,13.323777198791504,57.699649810791016,211.0833282470703
2020-12-16,124.41692352294922,96.8499984741211,162.04800415039062,87.2576675415039,105.98129272460938,273.9809875488281,210.40789794921875,13.206099510192871,58.55777359008789,207.58999633789062
2020-12-17,125.28330993652344,96.83999633789062,161.8040008544922,86.42938232421875,105.10303497314453,272.79827880859375,210.54222106933594,13.30457878112793,59.33195877075195,218.63333129882812
2020-12-18,123.29749298095703,95.91999816894531,160.08250427246094,85.71977233886719,104.58485412597656,274.70648193359375,209.7458038330078,13.235518455505371,60.68442916870117,231.6666717529297
2020-12-21,124.82579040527344,93.2300033569336,160.3090057373047,86.13392639160156,108.5107421875,271.1186828613281,213.5839385986328,13.295600891113281,60.14344024658203,216.6199951171875
2020-12-22,128.37889099121094,93.16000366210938,160.3260040283203,85.42183685302734,106.85958862304688,265.45355224609375,214.8793182373047,13.241748809814453,60.76838684082031,213.44667053222656
2020-12-23,127.48335266113281,91.55000305175781,159.2635040283203,85.81959533691406,109.84569549560547,266.46728515625,212.07749938964844,12.973490715026855,60.908287048339844,215.32666015625
2020-12-24,128.4665069580078,91.80999755859375,158.63450622558594,86.11406707763672,109.36264038085938,265.76165771484375,213.73744201660156,12.95803165435791,60.59116744995117,220.58999633789062
2020-12-28,133.06121826171875,91.5999984741211,164.197998046875,88.0904312133789,110.08283996582031,275.3028259277344,215.85809326171875,12.864541053771973,60.50721740722656,221.22999572753906
2020-12-29,131.28956604003906,90.62000274658203,166.10000610351562,87.2859878540039,109.79301452636719,275.0841979980469,215.080810546875,12.907671928405762,60.12478256225586,221.99667358398438
2020-12-30,130.17002868652344,92.29000091552734,164.29249572753906,86.21784210205078,110.10041809082031,270.20428466796875,212.7107696533203,13.109613418579102,60.06882095336914,231.5933380126953
2020-12-31,129.16737365722656,91.70999908447266,162.84649658203125,87.03173828125,111.60224914550781,271.48638916015625,213.4208526611328,13.019115447998047,60.33932113647461,235.22332763671875
2021-01-04,125.97447204589844,92.30000305175781,159.3314971923828,85.71532440185547,110.54833984375,267.2922058105469,208.88223266601562,13.077452659606934,59.46253204345703,243.2566680908203
2021-01-05,127.53194427490234,92.7699966430664,160.92550659179688,86.40656280517578,111.14984893798828,269.3097839355469,209.08370971679688,13.367902755737305,58.72565841674805,245.0366668701172
2021-01-06,123.23905181884766,90.33000183105469,156.91900634765625,85.55391693115234,116.36900329589844,261.6967468261719,203.66232299804688,12.579825401306152,58.5852165222168,251.9933319091797
2021-01-07,127.44438934326172,95.16000366210938,158.10800170898438,88.10930633544922,120.1904525756836,267.0933837890625,209.45794677734375,13.307318687438965,59.053375244140625,272.0133361816406
2021-01-08,128.54437255859375,94.58000183105469,159.13499450683594,89.27576446533203,120.32315063476562,265.93060302734375,210.73414611816406,13.240253448486328,59.34363555908203,293.3399963378906
2021-01-11,125.55586242675781,97.25,155.7104949951172,87.21298217773438,122.11888885498047,255.26634216308594,208.69029235839844,13.584056854248047,59.01591491699219,270.39666748046875
2021-01-12,125.38066101074219,95.36000061035156,156.04150390625,86.27642822265625,124.0384750366211,249.5515899658203,206.23388671875,13.447683334350586,58.444766998291016,283.14666748046875
2021-01-13,127.4151840209961,91.77999877929688,158.29449462890625,86.76407623291016,124.15348052978516,250.0982208251953,207.58685302734375,13.494553565979004,58.107704162597656,284.8033447265625
